uf,tipo_doenca,local_obito,faixa_etaria,sexo,total
AC,OUTRAS,DOMICILIO,"< 9",F,13
AC,OUTRAS,DOMICILIO,"< 9",I,1
AC,OUTRAS,DOMICILIO,"< 9",M,17
AC,OUTRAS,HOSPITAL,"< 9",F,63
AC,OUTRAS,HOSPITAL,"< 9",I,1
AC,OUTRAS,HOSPITAL,"< 9",M,55
AC,OUTRAS,IGNORADO,"< 9",M,1
AC,OUTRAS,OUTRO,"< 9",F,3
AC,OUTRAS,OUTRO,"< 9",M,8
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,2
AC,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,3
AC,OUTRAS,VIA_PUBLICA,"< 9",F,1
AC,OUTRAS,VIA_PUBLICA,"< 9",M,3
AC,COVID,HOSPITAL,"< 9",F,4
AC,COVID,HOSPITAL,"< 9",M,3
AC,INDETERMINADA,HOSPITAL,"< 9",M,1
AC,INDETERMINADA,OUTRO,"< 9",F,2
AC,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,1
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,17
AC,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,14
AC,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",F,1
AC,INSUFICIENCIA_RESPIRATORIA,OUTROS_SERVICOS_SAUDE,"< 9",M,1
AC,PNEUMONIA,HOSPITAL,"< 9",F,23
AC,PNEUMONIA,HOSPITAL,"< 9",M,18
AC,PNEUMONIA,OUTRO,"< 9",F,2
AC,PNEUMONIA,OUTRO,"< 9",M,1
AC,SEPTICEMIA,HOSPITAL,"< 9",F,36
AC,SEPTICEMIA,HOSPITAL,"< 9",M,51
AC,SEPTICEMIA,OUTRO,"< 9",F,1
AC,SEPTICEMIA,OUTRO,"< 9",M,1
AC,SRAG,DOMICILIO,"< 9",M,2
AC,SRAG,HOSPITAL,"< 9",F,1
AC,SRAG,HOSPITAL,"< 9",M,1
AL,OUTRAS,DOMICILIO,"< 9",F,6
AL,OUTRAS,DOMICILIO,"< 9",M,16
AL,OUTRAS,HOSPITAL,"< 9",F,243
AL,OUTRAS,HOSPITAL,"< 9",I,12
AL,OUTRAS,HOSPITAL,"< 9",M,285
AL,OUTRAS,OUTRO,"< 9",F,6
AL,OUTRAS,OUTRO,"< 9",M,4
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",F,4
AL,OUTRAS,OUTROS_SERVICOS_SAUDE,"< 9",M,6
AL,OUTRAS,VIA_PUBLICA,"< 9",F,1
AL,OUTRAS,VIA_PUBLICA,"< 9",M,2
AL,COVID,HOSPITAL,"< 9",F,1
AL,INDETERMINADA,DOMICILIO,"< 9",F,1
AL,INDETERMINADA,HOSPITAL,"< 9",F,2
AL,INDETERMINADA,HOSPITAL,"< 9",M,4
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",F,1
AL,INSUFICIENCIA_RESPIRATORIA,DOMICILIO,"< 9",M,4
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",F,35
AL,INSUFICIENCIA_RESPIRATORIA,HOSPITAL,"< 9",M,37
